image,arith_mean,arith_sort,arith_skew,arith_kurt,geom_mean,geom_sort,geom_skew,geom_kurt,p=5,p=10,p=16,p=25,p=50,p=75,p=84,p=90,p=95,prc_silt,prc_sand,prc_gravel,prc_cobble,13.444948,19.928689,26.412430,32.896172,39.379913,45.863655,52.347396,58.831138,65.314879,71.798620,78.282362,84.766103,91.249845,97.733586,104.217327,110.701069,117.184810,123.668552,130.152293,136.636034,143.119776,149.603517,156.087259
PICT0198.JPG,53.386817,31.242165,0.012288,0.044265,40.999968,137.467099,-0.098973,1.082871,10.186158,17.187740,20.698100,26.149827,41.563712,65.066342,80.113509,93.961313,113.246995,NaN,NaN,NaN,NaN,0.078071,0.131844,0.122147,0.133570,0.105288,0.089172,0.070656,0.051581,0.045124,0.038736,0.030949,0.024041,0.019215,0.015513,0.012264,0.009225,0.006833,0.004829,0.003570,0.002635,0.002008,0.001549,0.001179
PICT0199.JPG,46.394337,28.128799,0.016931,0.064153,35.274622,148.963296,-0.090612,1.400627,7.249859,14.499717,18.873931,24.017199,35.048339,51.905694,66.352503,81.976653,100.960526,NaN,NaN,NaN,NaN,0.109691,0.130700,0.185872,0.153054,0.117163,0.080224,0.045147,0.033613,0.029819,0.026028,0.021254,0.017094,0.012938,0.009413,0.006773,0.005177,0.004064,0.003165,0.002546,0.002051,0.001674,0.001389,0.001152
PICT0200.JPG,46.414686,29.536795,0.014096,0.046456,34.781451,137.342787,-0.083969,1.143737,8.598420,14.466837,17.277141,21.804904,35.595059,54.226339,68.419754,89.550676,109.290691,NaN,NaN,NaN,NaN,0.078183,0.138430,0.115386,0.109348,0.140915,0.099104,0.054652,0.048266,0.042038,0.028573,0.018077,0.015249,0.015968,0.016948,0.016965,0.015211,0.012561,0.009792,0.007464,0.005714,0.004506,0.003656,0.002994
PICT0201.JPG,52.437008,30.849634,0.012705,0.046374,39.939319,138.506837,-0.130499,1.123052,9.090020,16.634786,20.134774,25.518504,41.060653,63.892516,77.060066,91.704181,112.412171,NaN,NaN,NaN,NaN,0.087485,0.132235,0.122927,0.128664,0.109833,0.090051,0.066149,0.057244,0.048928,0.035669,0.025182,0.020182,0.017692,0.015178,0.012135,0.009078,0.006594,0.004499,0.003221,0.002352,0.001873,0.001541,0.001287
PICT0202.JPG,42.881750,21.266365,0.008737,0.036968,35.132088,169.273287,-0.143381,0.953794,12.298656,16.156156,19.603030,23.794589,36.787473,53.448578,60.129659,67.884082,80.870666,NaN,NaN,NaN,NaN,0.028062,0.059909,0.086964,0.112497,0.094741,0.096302,0.080331,0.068130,0.076309,0.077551,0.062971,0.042554,0.027790,0.019480,0.015263,0.012528,0.009819,0.007421,0.006048,0.004991,0.004223,0.003448,0.002669
PICT0203.JPG,49.133328,24.551663,0.010432,0.040629,40.512852,162.600499,-0.082207,1.046894,14.731075,19.161380,22.987893,28.266129,41.351909,58.572880,69.949358,81.099972,94.739455,NaN,NaN,NaN,NaN,0.025779,0.060875,0.093207,0.103930,0.115925,0.114445,0.101182,0.085022,0.064186,0.048794,0.038794,0.032522,0.027248,0.022536,0.018141,0.013655,0.009787,0.006541,0.004879,0.003794,0.003249,0.002887,0.002622
PICT0204.JPG,49.851855,25.290590,0.006597,0.027823,41.333772,155.006692,-0.131966,0.895060,13.511710,17.631763,22.098475,26.691672,42.680042,64.917033,74.873477,83.199669,94.118671,NaN,NaN,NaN,NaN,0.024761,0.064417,0.073203,0.108127,0.093959,0.077645,0.077786,0.076100,0.064733,0.050017,0.047596,0.050996,0.047044,0.038403,0.029035,0.022979,0.017474,0.012426,0.008446,0.005668,0.004000,0.002954,0.002232
PICT0205.JPG,41.414681,28.966086,0.030274,0.152144,23.991849,121.671222,-0.256051,1.390272,2.987648,5.975297,9.560475,14.938242,27.236605,41.018190,53.034531,67.849480,91.925751,NaN,NaN,NaN,NaN,0.373350,0.280538,0.134614,0.063207,0.042968,0.030975,0.019332,0.013296,0.009758,0.007025,0.005118,0.003970,0.003245,0.002683,0.002188,0.001765,0.001483,0.001246,0.001025,0.000807,0.000591,0.000454,0.000360
PICT0206.JPG,39.568812,21.153395,0.016924,0.063532,31.900022,176.127621,0.068923,1.117017,13.734624,16.508536,19.296356,22.520839,31.243764,43.290052,53.843627,66.591771,81.532239,NaN,NaN,NaN,NaN,0.025330,0.107146,0.165914,0.169481,0.182771,0.088063,0.055845,0.046488,0.031507,0.024664,0.022842,0.019957,0.015721,0.011730,0.008576,0.006499,0.004828,0.003436,0.002631,0.002083,0.001775,0.001492,0.001221
PICT0207.JPG,53.300885,32.713420,0.019387,0.080759,37.673207,135.748464,-0.166161,1.365369,5.850835,11.701671,18.722673,25.204311,38.720038,61.476996,73.755451,86.535628,114.104004,NaN,NaN,NaN,NaN,0.190646,0.223743,0.170042,0.113470,0.088567,0.075071,0.043516,0.023893,0.016037,0.012262,0.010201,0.008517,0.006717,0.005042,0.003641,0.002648,0.001958,0.001398,0.000993,0.000677,0.000448,0.000305,0.000209
